time,p10,p50,p90,point
2018-12-30 23:00:00+00:00,25222.545984598975,25968.7762957716,26369.70140241331,26154.874708414904
2018-12-31 00:00:00+00:00,24659.987625888745,25352.53689953165,25858.95644122068,25643.205874032654
2018-12-31 01:00:00+00:00,24089.894530548885,24596.384508025192,25114.044115693338,24825.186151665945
2018-12-31 02:00:00+00:00,23613.02691763425,23797.721233775195,24416.041613832036,24088.468671167895
2018-12-31 03:00:00+00:00,23423.486756116516,23558.296569773483,24334.77981316282,23767.931633381475
2018-12-31 04:00:00+00:00,23553.74106768118,23989.654271555926,24527.697770397917,24106.053189723196
2018-12-31 05:00:00+00:00,24782.456716066874,25048.742721654875,25658.694096189298,25465.9121703487
2018-12-31 06:00:00+00:00,26308.952102943542,26697.626528433095,27170.02102775417,26869.949072632637
2018-12-31 07:00:00+00:00,27683.878958460682,28033.2374539546,28917.71558727886,28206.23979535855
2018-12-31 08:00:00+00:00,29145.548094300324,29505.835879541228,30301.934381843097,29505.751739007235
2018-12-31 09:00:00+00:00,30374.89221759016,30682.468696021388,31536.735501149218,30624.519588253555
2018-12-31 10:00:00+00:00,31141.363024895778,31623.12558819547,32431.6427070703,31821.0462295247
2018-12-31 11:00:00+00:00,31299.798582943287,31922.317002150237,32546.994908680168,31954.54725826962
2018-12-31 12:00:00+00:00,31135.826171619578,31844.962623223742,32441.932802174135,31950.165364357308
2018-12-31 13:00:00+00:00,30605.48367722534,31277.208993405387,32008.740952126478,31239.110047302922
2018-12-31 14:00:00+00:00,30077.702061990214,30521.935254409087,31244.218639120278,30390.385527168666
2018-12-31 15:00:00+00:00,29439.773446779727,29897.333645119434,30566.260290161772,29882.640312156258
2018-12-31 16:00:00+00:00,29951.284546098785,30175.616695198063,30966.132172109057,30331.738891442983
2018-12-31 17:00:00+00:00,32088.118344072165,32635.721592740272,33314.14479907502,32783.71574815832
2018-12-31 18:00:00+00:00,34896.99912616769,35715.76537089498,36274.99716376512,35672.637128980714
2018-12-31 19:00:00+00:00,35540.37762850729,36498.807928653776,37246.91975491213,37003.47879654417
2018-12-31 20:00:00+00:00,35196.031005200195,35533.09327274901,36476.583361463425,35781.08940819008
2018-12-31 21:00:00+00:00,31400.990324754643,31817.31074120554,32760.13388738501,31809.263665221588
2018-12-31 22:00:00+00:00,29089.878467530445,29292.422993969085,30218.30780685062,29334.839025105466
