hour,MAPE_%,RMSE_MW,MAE_MW,model
0,5.255067836521038,1685.075589920039,1288.9238770120205,Naive-24h
1,5.589549522680092,1684.2306002116643,1343.5383158877498,Naive-24h
2,5.75187980904117,1650.205449097069,1321.4884383124179,Naive-24h
3,5.49166738039333,1559.044515620839,1224.7729763213829,Naive-24h
4,5.253226843730685,1549.1312009016563,1157.7515474645782,Naive-24h
5,5.283674712901903,1587.9801556354723,1182.6316138646805,Naive-24h
6,5.317425449573862,1680.4248178701637,1245.0451947837419,Naive-24h
7,5.019924677067492,1695.129214310433,1247.3864134970981,Naive-24h
8,4.799678109827661,1746.117857020275,1262.0414991877294,Naive-24h
9,4.754583139531912,1773.4412631005146,1322.5934399246285,Naive-24h
10,4.779216671252814,1869.1529218780117,1387.0313163616108,Naive-24h
11,5.203917084131293,2041.8953208634668,1562.3179018788592,Naive-24h
12,4.941776525293156,2000.9320376041264,1505.3582644528458,Naive-24h
13,4.80033430205648,1984.278303742612,1463.087452223682,Naive-24h
14,4.887083275175322,1968.5787885754585,1466.1586200070724,Naive-24h
15,4.865513955937096,1897.2662766721378,1423.5404682759504,Naive-24h
16,4.506133965478899,1757.6121068918724,1291.1813835286564,Naive-24h
17,4.787024991956524,1899.1615611350205,1385.7486757619304,Naive-24h
18,4.693098820512827,1959.4181124215443,1427.3820670364917,Naive-24h
19,4.852108464161341,2178.5715620172323,1579.1474785842358,Naive-24h
20,4.960898512616501,2290.980067419809,1669.7545905925963,Naive-24h
21,4.82312402855573,2110.3715814440384,1557.8220013864836,Naive-24h
22,4.986424888890622,1974.353708326789,1485.1784840600694,Naive-24h
23,5.244202088480927,1938.4542303156593,1442.21348120359,Naive-24h
0,2.698231033925515,846.8011335121588,670.6133158606402,SeasonalNaive-168h
1,3.0267584700054257,928.7544552307957,740.4748257560444,SeasonalNaive-168h
2,3.1338637255098236,906.8145111481235,729.6301359344636,SeasonalNaive-168h
3,2.5651270861309055,751.0771547228447,580.7070914232661,SeasonalNaive-168h
4,2.191179580801094,643.66539967564,488.6453425108356,SeasonalNaive-168h
5,2.657365336416158,755.5556745026992,600.6366435411489,SeasonalNaive-168h
6,3.051591702687964,895.4267043953901,716.442116576433,SeasonalNaive-168h
7,2.5905203392042324,854.1723850851095,651.7373658216254,SeasonalNaive-168h
8,2.5722980662698425,877.742825183461,684.0193882098997,SeasonalNaive-168h
9,2.3002500869896423,854.3746874850917,647.4427495229041,SeasonalNaive-168h
10,2.0788567534097617,793.6377037215829,615.4871121089852,SeasonalNaive-168h
11,1.8205062703781976,729.6962331561724,556.0567182886523,SeasonalNaive-168h
12,1.704264289734636,722.8855145193003,526.3386151161661,SeasonalNaive-168h
13,1.8291340042701258,708.3918597320492,563.3777266505849,SeasonalNaive-168h
14,1.975867845841853,745.920177595216,596.6212270463989,SeasonalNaive-168h
15,2.1096449972388798,776.014771020248,623.6918638562393,SeasonalNaive-168h
