order,seasonal_order,aic
"(0, 1, 2)","(0, 1, 1, 7)",4841.040727653908
"(1, 1, 2)","(0, 1, 1, 7)",4841.241056836841
"(2, 1, 2)","(0, 1, 1, 7)",4842.296025619281
"(0, 1, 2)","(1, 1, 1, 7)",4842.90847908334
"(1, 1, 2)","(1, 1, 1, 7)",4843.501473542973
"(1, 1, 1)","(0, 1, 1, 7)",4855.529742926398
"(0, 1, 1)","(0, 1, 1, 7)",4857.176023917379
"(1, 1, 1)","(1, 1, 1, 7)",4857.4143196076475
"(2, 1, 1)","(0, 1, 1, 7)",4857.701208000196
"(0, 1, 1)","(1, 1, 1, 7)",4858.972286806336
"(2, 1, 1)","(1, 1, 1, 7)",4859.4483551651265
"(2, 1, 2)","(1, 1, 1, 7)",4909.807757869747
"(2, 1, 0)","(1, 1, 1, 7)",4946.5370673873285
"(2, 1, 0)","(0, 1, 1, 7)",4963.881610069024
"(1, 1, 0)","(1, 1, 1, 7)",4990.909022418586
"(1, 1, 0)","(0, 1, 1, 7)",4992.163595936732
"(0, 1, 0)","(1, 1, 1, 7)",5050.035380985648
"(0, 1, 0)","(0, 1, 1, 7)",5056.151229101925
